Range,Round,Beat,Place,Ha.,Place Year
Meghraj,Banthivada SF,Kherai SF,Kherai-3-NBM(HDP)-20-21,1.5,
Meghraj,Banthivada SF,Ramgadhi SF,Dachaka-VK-20-21,1,
Meghraj,Isari SF,Isari SF,Padarmahudi-VK-23-24,2,
Meghraj,Kasana SF,Kasana SF,Lalpur-AFPBP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Rajgol-AFHDP1-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Bhemapur-AFPBP-20-21,1,
Meghraj,Banthivada SF,Ramgadhi SF,Banthivada-VK-20-21,2,
Meghraj,Isari SF,Isari SF,Tarakvadiya To Khakhariya Road-S-22-23,3,
Meghraj,Kasana SF,Kasana SF,Navi Vank-AFLDP-23-24,3,
Meghraj,Rellavada SF,Rellavada SF,Gayvachharada-AFHDP2-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kaliyakuva-AFPBP-20-21,1,
Meghraj,Isari SF,Isari SF,Khakhariya (Jitpur)-G2-22-23,4,
Meghraj,Kasana SF,Kasana SF,Brahmankotada-AFLDP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Navaghara-AFHDP2-24-25,2,
Meghraj,Banthivada SF,Kherai SF,Kherai-AFLDP-20-21,2,
Meghraj,Isari SF,Isari SF,Kantalu-F.F.22-23,12,
Meghraj,Kasana SF,Kasana SF,Lalpur-AFLDP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Ged-NBM-BPFL-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Banthivada-NBM-BPFL-20-21,3,
Meghraj,Isari SF,Isari SF,Jitpur-F.F.-22-23,1,
Meghraj,Kasana SF,Kasana SF,Sisodara(A)-AFLDP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Rajgol-NBM-BPFL-24-25,3,
Meghraj,Isari SF,Isari SF,Ishri-RDFL-22-23,3,
Meghraj,Kasana SF,Kasana SF,Kadvadi-VK-23-24,2,
Meghraj,Rellavada SF,Rellavada SF,Kunol To Dhandhya Road-S-23-24,3,
Meghraj,Isari SF,Isari SF,PatelChhapara-NBM-BPFL-22-23,1,
Meghraj,Kasana SF,Kasana SF,Kasana-VK-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara)-1-G2-23-24,3,
Meghraj,Isari SF,Isari SF,SurpurPadar-NBM-BPFL-22-23,1,
Meghraj,Kasana SF,Kasana SF,Juni Vank-VK-23-24,2,
Meghraj,Rellavada SF,Rellavada SF,Rajgol-F.F.-23-24,1,
Meghraj,Isari SF,Isari SF,Kantalu-Pavitra Upvan-21-22,1,
Meghraj,Kasana SF,Kasana SF,Navi Vank-VK-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Sangal-F.F.-23-24,3,
Meghraj,Isari SF,Isari SF,Ishri-G2-21-22,2,
Meghraj,Kasana SF,Kasana SF,Sisodara(A)-F.F.-22-23,2,
Meghraj,Rellavada SF,Rellavada SF,Vavkampa-F.F.-23-24,22,
Meghraj,Isari SF,Isari SF,Khakhariya (Jitpur)-HG-21-22,1,
Meghraj,Kasana SF,Kasana SF,Brahamkotada-F.F.-22-23,1,
Meghraj,Rellavada SF,Rellavada SF,Malkampa-F.F.-23-24,10,
Meghraj,Megharaj SF,Megharaj SF,Range Office,,
Meghraj,Megharaj SF,Megharaj SF,Range Office- Rest House,,
Meghraj,Megharaj SF,Megharaj SF,Range Office- Garden,,
Meghraj,Megharaj SF,Megharaj SF,Range Office-Forest Colony,,
Meghraj,Megharaj SF,Megharaj SF,Rest House,,
Meghraj,Megharaj SF,Megharaj SF,Range Office-Rest House+Forest Colony,,
Meghraj,Rellavada SF,Rellavada SF,Sangal Van Kavach 10-CFP 25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Sangal Van Kavach 6-CFP 25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Sangal pavitrupvan 25- 26,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Sangal Chokadi To Dharola Road-S-26-27,2,2026-27
Meghraj,Rellavada SF,Rellavada SF,Sangal-2-G-1-26-27,3,2026-27
Meghraj,Rellavada SF,Rellavada SF,Sangal-1-G-2-26-27,2,2026-27
Meghraj,Rellavada SF,Rellavada SF,Shree Ramkrushn UChh. Vidhyalay-Bhatkota-E-26-27,1,2026-27
Meghraj,Isari SF,Isari SF,Samsan-Khumapur-E-26-27,1,2026-27
Meghraj,Rellavada SF,Rellavada SF,Samsan-Sangal-E-26-27,1,2026-27
Meghraj,Rellavada SF,Rellavada SF,Kunol to Sangal Road-HVPP-25-26,1,
Meghraj,Isari SF,Isari SF,Ambe Ma Temple Rajpur -PGVP-25-26,1,
Meghraj,Isari SF,Panibar SF,Ram Temple-Antoli-PGVP-25-26,1,
Meghraj,Isari SF,Panibar SF,Shmsan Panibar-PGVP-25-26,1,
Meghraj,Isari SF,Isari SF,Rakhapur Pri Sch-PGVP-25-26,1,
Meghraj,Isari SF,Panibar SF,Gorvada Hi.Sch-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Shmsan Kunol-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Mahadev Temple-Sangal-PGVP-25-26,1,
Meghraj,Rellavada SF,Panchal SF,Dhendhera Pri.Sch-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Bhathiji Tempal-Nani Sangal-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Mahakali Temple-Mahudi-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Shree RKUB Vidhyalay-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Pandeswer Mahadev Temple-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Shree RDUB Vidhyalay-Kunol-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Shree Gurukrupa.V.V.-Rellavada-PGVP-25-26,1,
Meghraj,Banthivada SF,Ramgadhi SF,Shree LMUBV-Belyo-PGVP-25-26,1,
Meghraj,Banthivada SF,Ramgadhi SF,Shree AUBV-Banthivada-PGVP-25-26,1,
Meghraj,Banthivada SF,Ramgadhi SF,Bhath Pri.Sch-Banthivada-PGVP-25-26,1,
Meghraj,Banthivada SF,Kherai SF,SVPUBV-Kaliyakuva-PGVP-25-26,1,
Meghraj,Megharaj SF,Megharaj SF,Shree Karmyogi Vid.Kumbhera-PGVP-25-26,1,
Meghraj,Megharaj SF,Hiratimba SF,LKLS YogaShrm-Ar.Kumbhera-PGVP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Van Kutir Rep. Zarda,,
Meghraj,Rellavada SF,Rellavada SF,New Van kutir - Sangal,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Rajgor Talav -ASGVP,,
Meghraj,Isari SF,Isari SF,Ishri Talav -ASGVP,,
Meghraj,Rellavada SF,Rellavada SF,Kunol To Dhandhiya Raod-S-21-22,2,2021-22
Meghraj,Rellavada SF,Rellavada SF,Village Level Van Mahotsav Celebration 1,,2025-26
Meghraj,Rellavada SF,Panchal SF,Village Level Van Mahotsav Celebration 2,,2025-26
Meghraj,Isari SF,Isari SF,Village Level Van Mahotsav Celebration 3,,2025-26
Meghraj,Isari SF,Panibar SF,Village Level Van Mahotsav Celebration 4,,2025-26
Meghraj,Banthivada SF,Ramgadhi SF,Village Level Van Mahotsav Celebration 5,,2025-26
Meghraj,Banthivada SF,Kherai SF,Village Level Van Mahotsav Celebration 6,,2025-26
Meghraj,Kasana SF,Kasana SF,Village Level Van Mahotsav Celebration 7,,2025-26
Meghraj,Kasana SF,Vaghpur SF,Village Level Van Mahotsav Celebration 8,,2025-26
Meghraj,Megharaj SF,Megharaj SF,Village Level Van Mahotsav Celebration 9,,2025-26
Meghraj,Megharaj SF,Rola SF,Village Level Van Mahotsav Celebration 10,,2025-26
Meghraj,Megharaj SF,Hiratimba SF,Village Level Van Mahotsav Celebration 11,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Taluka Level Van Mahotsav Celebration 1,,2025-26
Meghraj,Isari SF,Isari SF,Taluka Level Van Mahotsav Celebration 2,,2025-26
Meghraj,Banthivada SF,Ramgadhi SF,Taluka Level Van Mahotsav Celebration 3,,2025-26
Meghraj,Kasana SF,Kasana SF,Taluka Level Van Mahotsav Celebration 4,,2025-26
Meghraj,Megharaj SF,Megharaj SF,Taluka Level Van Mahotsav Celebration 5,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Vruksh Rath 1,,2025-26
Meghraj,Rellavada SF,Panchal SF,Vruksh Rath 2,,2025-26
Meghraj,Isari SF,Isari SF,Vruksh Rath 3,,2025-26
Meghraj,Isari SF,Panibar SF,Vruksh Rath 4,,2025-26
Meghraj,Banthivada SF,Ramgadhi SF,Vruksh Rath 5,,2025-26
Meghraj,Banthivada SF,Kherai SF,Vruksh Rath 6,,2025-26
Meghraj,Kasana SF,Kasana SF,Vruksh Rath 7,,2025-26
Meghraj,Kasana SF,Vaghpur SF,Vruksh Rath 8,,2025-26
Meghraj,Megharaj SF,Megharaj SF,Vruksh Rath 9,,2025-26
Meghraj,Megharaj SF,Rola SF,Vruksh Rath 10,,2025-26
Meghraj,Megharaj SF,Hiratimba SF,Vruksh Rath 11,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Shangal to Dharola Tran Rasta Road,1,2025-26
Meghraj,Rellavada SF,Rellavada SF,Vav Kampa to Shangal Road,1,2025-26
Meghraj,Megharaj SF,Megharaj SF,Rest House Repering at Forest Colony,1,2025-26
Meghraj,Megharaj SF,Megharaj SF,New Gate at Forest Colony,1,2025-26
Meghraj,Megharaj SF,Megharaj SF,RFO Quater Repering at Forest Colony,1,2025-26
Meghraj,Rellavada SF,Rellavada SF,RKVY Ext.Nur. Kunol-24-25,,
Meghraj,Rellavada SF,Rellavada SF,Kunol to Vav Kampa Road-HVPP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Sangal To Dharola Tran Rasta Road-HVPP-25-26,1,
Meghraj,Rellavada SF,Rellavada SF,Vav Kampa To Sangal Road-HVPP-25-26,1,
Meghraj,Banthivada SF,Ramgadhi SF,RKVY New Big Nur Hiratimba 2025-26,,2025-26
Meghraj,Isari SF,Isari SF,Khumapur ( Patel Chhapara ) G2 2026-27,3,2026-27
Meghraj,Megharaj SF,Megharaj SF,Kisan Sibir,,
Meghraj,Megharaj SF,Megharaj SF,RFO Quater,,
Meghraj,Rellavada SF,Rellavada SF,kunol G1 2021-22,3,2021-22
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda Nursary-VNM-26-27,,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda Nursary-Dept-26-27,,
Bhiloda,Bhiloda SF,Bhiloda SF,Mamlatdar Kacheri Bhiloda-E-25-26,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda Nury-VNM-25-26,,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda Nur.Dept-25-26,,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-G2-24-25,3,
Bhiloda,Bhiloda SF,Bhiloda SF,Mamlatdar Kacheri Bhil.-HG-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Bolundra-FF-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Vejpur-FF-24-25,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda-FF-24-25,3,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-FF-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Indrapura-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Vejpur-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubasal-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-AgroPBPT-24-25,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Chunakhan-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda-AgroPBPT-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-Agro-PBPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Vejpur-AgroLDPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubsal-AgroLDPT-24-25,3,
Bhiloda,Bhiloda SF,Bhiloda SF,Pal Bavaliya-AgroLDPT-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-AgroLDPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Masasa-AgroLDPT-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Mankaroda-AgroLDPT-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-AgroLDPT-24-25,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-AgroHDP1T-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Vejpur-AgroHDP1T-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubsal-AgroHDP1T-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubsal-AgroHDP2T-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Pal Bavaliya-AgroHDP2T-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Vagheshvari-AgroHDP2T-24-25,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Bolundra-AgroHDP2T-24-25,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-AgroHDP2T-24-25,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Chunakhan-NBMTASPFL-24-25,0.25,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-NBMTASPFL-24-25,0.5,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-NBMTASPFL-24-25,0.25,
Bhiloda,Bhiloda SF,Bhiloda SF,Veridungari-G2-23-24,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Bhiloda-FF-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-FF-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-FF-23-24,4,
Bhiloda,Bhiloda SF,Bhiloda SF,Bhiloda-VK-23-24,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubasal-AgroPBPT-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Indrapura-AgroPBPT-23-24,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Vejpur=AgroPBPT-23-24,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-AgroPBPT-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ubasal-AgroLDPT-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Kishangadh-AgroLDPT-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-AgroLDPT-23-24,2,
Bhiloda,Bhiloda SF,Bhiloda SF,Ghanti-G2-22-23,6,
Bhiloda,Bhiloda SF,Bhiloda SF,Veridungari-NBMPlotGe.-22-23,5,
Bhiloda,Bhiloda SF,Mau SF,Khalvad To Lilchha Road-S-25-26,1,
Bhiloda,Bhiloda SF,Mau SF,Khalvad- G1-25-26,2,
Bhiloda,Bhiloda SF,Mau SF,Sunsar-DCPT-25-26,,
Bhiloda,Bhiloda SF,Mau SF,Jumsar-DCPSCP-25-26,,
Bhiloda,Bhiloda SF,Mau SF,Munai-SHGSCP-25-26,,
Bhiloda,Bhiloda SF,Mau SF,Munai-RDFL-24-25,2,
Bhiloda,Bhiloda SF,Mau SF,Naranpur-AgroPBPT-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Mau Tanda-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Mau SF,Khalvad-AgroPBPT-24-25,2,
Bhiloda,Bhiloda SF,Mau SF,Khalvad-AgroLDP-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroLDPT-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Naranpur-AgroLDPT-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroHDP1T-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Munai-AgroHDP1T-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroHDP2T-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Jumasar-AgroPBPSCP-24-25,1,
Bhiloda,Bhiloda SF,Mau SF,Munai-FF-23-24,1,
Bhiloda,Bhiloda SF,Mau SF,Sunsar-FF-23-24,3,
Bhiloda,Bhiloda SF,Mau SF,Sunasr-RDFL-23-24,2,
Bhiloda,Bhiloda SF,Mau SF,Munai-VKSCP-23-24,2,
Bhiloda,Bhiloda SF,Mau SF,Khalvad-AgroPBPT-23-24,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroPBPT-23-24,2,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroLDPT-23-24,2,
Bhiloda,Bhiloda SF,Mau SF,NarsoliKampa-AgroHDP1T-23-24,2,
Bhiloda,Bhiloda SF,Mau SF,Munai-FF-22-23,2,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-FF-22-23,2,
Bhiloda,Bhiloda SF,Mau SF,Munai-VK-22-23,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-VKSCP-22-23,1,
Bhiloda,Bhiloda SF,Mau SF,Narsoli-FF-21-22,4,
Bhiloda,Bhiloda SF,Mau SF,Khalvad-VK-21-22,2,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroPBPNT-21-22,1,
Bhiloda,Bhiloda SF,Mau SF,Khalavad-AgroPBPNT-21-22,4,
Bhiloda,Bhiloda SF,Mau SF,Khalavad-NBMPlot-20-21,3,
Bhiloda,Bhiloda SF,Mau SF,Munai-RDFL-20-21,2,
Bhiloda,Bhiloda SF,Mau SF,Mau-VKSCP-20-21,2,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroPBPNT-20-21,1,
Bhiloda,Bhiloda SF,Mau SF,Lilchha-AgroLDPNT-20-21,2,
Bhiloda,Bhiloda SF,Mau SF,Khalavad-AgroHDP1T-20-21,1,
Bhiloda,Bhiloda SF,Mau SF,Khalavad-NBMFLGe.-20-21,1,
Bhiloda,Bhiloda SF,Mau SF,Munai-NBMFLGe.-20-21,1,
Bhiloda,Dolatpur SF,Dolatpur SF,Kushki-DCPSCP-25-26,,
Bhiloda,Dolatpur SF,Dolatpur SF,Navalpur-FF-23-24,2,
Bhiloda,Dolatpur SF,Dolatpur SF,Khodamba-G1-24-25,5,
Bhiloda,Dolatpur SF,Dolatpur SF,Khodamba-NBMPlot-24-25,4,
Bhiloda,Dolatpur SF,Dolatpur SF,Kherancha-FF-24-25,4,
Bhiloda,Dolatpur SF,Dolatpur SF,Devnimori-AgroLDPT-24-25,1,
Bhiloda,Dolatpur SF,Dolatpur SF,Godh Kushki-AgroHDP2T-24-25,2,
Bhiloda,Dolatpur SF,Dolatpur SF,Khodamba-G1-23-24,4,
Bhiloda,Dolatpur SF,Dolatpur SF,Kushki-RDFL-22-23,3,
Bhiloda,Dolatpur SF,Dolatpur SF,Kushki-VKSCP-22-23,1,
Bhiloda,Dolatpur SF,Dolatpur SF,Sodpur-FF-21-22,2,
Bhiloda,Dolatpur SF,Dolatpur SF,Devnimori-VK-21-22,2,
Bhiloda,Dolatpur SF,Dolatpur SF,Odhapada-VK-21-22,1,
Bhiloda,Dolatpur SF,Dolatpur SF,Khodamba-NBMPlot-20-21,5,
Bhiloda,Dolatpur SF,Dolatpur SF,Lalpur- F F-20-21,8,
Bhiloda,Dolatpur SF,Dolatpur SF,Lalpur-NBMFLGe.-20-21,2,
Bhiloda,Dolatpur SF,Dolatpur SF,Kushki-NBMFLGe.-20-21,1,
Bhiloda,Bhiloda SF,Bhiloda SF,Gambhirpura Depo,,
Bhiloda,Bhiloda SF,Bhiloda SF,Range Office Bhiloda,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meshvo Vatika Nursury-VNM-26-27,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meshvo Vatika Nursury-Department-26-27,,
Bhiloda,Shamlaji SF,Shamlaji SF,Hathiya-DCPNT-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meru-DCPT-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Shamllaji-DCPT-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meshvo Vatika Nursury-VNM-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meshvo Vatika Nursury-Department-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Meshvo Vatika Nursury-RKVY-25-26,,
Bhiloda,Shamlaji SF,Shamlaji SF,Dodisara Highschool-ESCP-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya-FF-24-25,5,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-RDFL-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dodisara-AgroPBPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhuleta-AgroPBPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Jesingpur-AgroPBPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya-AgroPBPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhanndhasan-AgroPBPT-24-25,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Odd-AgroPBPT-24-25,3,
Bhiloda,Shamlaji SF,Shamlaji SF,Jesingpur-AgroLDPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya-AgroLDPT-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Odd-AgroLDPT-24-25,3,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhandhasan-AgroLDPT-24-25,3,
Bhiloda,Shamlaji SF,Shamlaji SF,Bornala-AgroLDPT-24-25,3,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhuleta-AgroLDPT-24-25,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya-AgroHDP1T-24-25,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-AgroLDPSCP-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Bornala-NBMTASPFL-24-25,0.25,
Bhiloda,Shamlaji SF,Shamlaji SF,Shamlaji-NBMTASPFL-24-25,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Odd-NBMTASPFL-24-25,0.25,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya-NBMTASPFL-24-25,0.5,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-NBMGen.FL-24-25,2.5,
Bhiloda,Shamlaji SF,Shamlaji SF,Odd-FF-23-24,3,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-RDFL-23-24,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-VKSCP-23-24,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhamboliya Talav-HG-22-23,0.5,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhandhasan-FF-22-23,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Jesingapur-FF-22-23,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Hathiya-FF-22-23,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Palla-FF-22-23,1,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhandhasan-FF-21-22,4,
Bhiloda,Shamlaji SF,Shamlaji SF,Dhandhasan-FF-20-21,2,
Bhiloda,Shamlaji SF,Shamlaji SF,Odd-FF-20-21,4,
Bhiloda,Lusadiya SF,Karsha SF,Kundol-FF-24-25,15,
Bhiloda,Lusadiya SF,Karsha SF,Ramela-FF-24-25,4,
Bhiloda,Lusadiya SF,Karsha SF,Karchha-RDFL-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Navagam-AgroPBPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Pahadiya-AgroPBPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Jabchitariya-AgroPBPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Panchmahudi-AgroPBPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Venpur-AgroPBPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Jambudi-AgroPBPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Laxmanpura-AgroPBPT-24-25,3,
Bhiloda,Lusadiya SF,Karsha SF,Kundol-AgroPBPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Laxmanpura-AgroLDPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Pahadiya-AgroLDPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,PAnchmahudi-AgroLDPT-24-25,4,
Bhiloda,Lusadiya SF,Karsha SF,Lusadiya-AgroLDPT-24-25,3,
Bhiloda,Lusadiya SF,Karsha SF,Sonasan-AgroLDPT-24-25,3,
Bhiloda,Lusadiya SF,Karsha SF,Venpur-AgroLDPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Himatpur-AgroLDPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Jambudi-AgroLDPT-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Jabchitariya-AgroLDPT-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Sonasan-AgroHDP1T-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Panchmahidi-AgroHDP1T-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Jabchitariya-AgroHDP1T-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Laxmanapura-AgroHDP2T-24-25,2,
Bhiloda,Lusadiya SF,Karsha SF,Panchmahudi-AgroHDP2T-24-25,3,
Bhiloda,Lusadiya SF,Karsha SF,Jabchitariya-AgroHDP2T-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Kundol-AgroPBPSCP-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Karachha-AgroPDPSCP-24-25,1,
Bhiloda,Lusadiya SF,Karsha SF,Kundol-FF-23-24,10,
Bhiloda,Lusadiya SF,Karsha SF,Kagadamahuda-FF-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Jambudi-FF-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Sonasan-FF-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Lusadiya-FF-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Dahegamada-RDFL-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Vaghpur- V K-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Jambudi-VK-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Kundol-VK-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Panchmahudi-VK-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Vaghpur-AgroPBPT-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Navavenpur-AgroPBPT-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Pahadiya-AgroPBPT-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Galisemaro-AgroPBPT-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Vasaya-AgroPBPT-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Vaghpur-AgroLDPT-23-24,2,
Bhiloda,Lusadiya SF,Karsha SF,Lusadiya-AgroLDPT-23-24,1,
Bhiloda,Lusadiya SF,Karsha SF,Laxmanpura-AgroLDPT-23-24,2,
